yy;SiteID;climatologico;SiteName;SiteCode;FullSiteCode;Latitude;Longitude;Elevation;cod_rete;comune;provincia;County;nome_rete;cod_reg
2005;6729;9.07075700667687;TREVISO/ISTRANA;160980;160980;45.683;12.1;46;11;ISTRANA;TREVISO;VENETO;Sinottica;5
2005;6730;9.342226076351428;TREVISO/S. ANGELO;160990;160990;45.65;12.183;23;11;QUINTO DI TREVISO;TREVISO;VENETO;Sinottica;5
2005;6733;9.720642361782664;VENEZIA/TESSERA;161050;161050;45.5;12.333;6;11;VENEZIA;VENEZIA;VENETO;Sinottica;5
2005;6735;8.228663334448296;RONCHI DEI LEGIONAR;161080;161080;45.817;13.483;12;11;RONCHI DEI LEGIONARI;GORIZIA;FRIULI-VENEZIA GIULIA;Sinottica;6
2005;6736;12.208901874606912;TRIESTE;161100;161100;45.65;13.75;20;11;TRIESTE;TRIESTE;FRIULI-VENEZIA GIULIA;Sinottica;6
2005;6739;9.479657670221382;MONDOVI;161140;161140;44.383;7.817;560;11;MONDOVI';CUNEO;PIEMONTE;Sinottica;1
2005;6744;7.806294840854447;PASSO DEI GIOVI;161190;161190;44.633;8.933;475;11;ISOLA DEL CANTONE;GENOVA;LIGURIA;Sinottica;7
2005;6747;11.48654049661465;ALBENGA;161220;161220;44.05;8.117;49;11;ORTOVERO;SAVONA;LIGURIA;Sinottica;7
2005;6758;1.3535017708326806;MONTE CIMONE;161340;161340;44.2;10.7;2173;11;RIOLUNATO;MODENA;EMILIA-ROMAGNA;Sinottica;8
2005;6762;9.663141437481729;FERRARA;161380;161380;44.833;11.617;10;11;FERRARA;FERRARA;EMILIA-ROMAGNA;Sinottica;8
2005;6763;9.455747595946727;BOLOGNA/BORGO PANIG;161400;161400;44.533;11.3;49;11;BOLOGNA;BOLOGNA;EMILIA-ROMAGNA;Sinottica;8
2005;6768;8.764748186423455;CERVIA;161480;161480;44.217;12.3;10;11;CESENA;FORLI-CESENA;EMILIA-ROMAGNA;Sinottica;8
2005;6769;9.612647090188045;RIMINI;161490;161490;44.033;12.617;13;11;RIMINI;RIMINI;EMILIA-ROMAGNA;Sinottica;8
2005;6771;13.416396294463913;CAPO MELE;161530;161530;43.95;8.167;221;11;LAIGUEGLIA;SAVONA;LIGURIA;Sinottica;7
2005;6773;9.972715375812308;PISA/S. GIUSTO;161580;161580;43.683;10.383;6;11;PISA;PISA;TOSCANA;Sinottica;9
2005;6776;11.153162360712022;MONTE ARGENTARIO;161680;161680;42.383;11.167;631;11;MONTE ARGENTARIO;GROSSETO;TOSCANA;Sinottica;9
2005;6777;9.976088044485246;FIRENZE/PERETOLA;161700;161700;43.8;11.2;38;11;FIRENZE;FIRENZE;TOSCANA;Sinottica;9
2005;6779;7.4473860708778705;AREZZO;161720;161720;43.467;11.85;249;11;AREZZO;AREZZO;TOSCANA;Sinottica;9
2005;6782;10.064348729854808;FRONTONE;161790;161790;43.517;12.733;574;11;FRONTONE;PESARO E URBINO;MARCHE;Sinottica;11
2005;6784;8.781285704533248;PERUGIA;161810;161810;43.083;12.5;205;11;BASTIA;PERUGIA;UMBRIA;Sinottica;10
2005;6787;9.922988182223008;FALCONARA;161910;161910;43.617;13.367;10;11;FALCONARA MARITTIMA;ANCONA;MARCHE;Sinottica;11
2005;6790;12.17809420153448;M. CALAMITA;161970;161970;42.733;10.4;397;11;CAPOLIVERI;LIVORNO;TOSCANA;Sinottica;9
2005;6794;9.840618014504283;GROSSETO;162060;162060;42.75;11.067;7;11;GROSSETO;GROSSETO;TOSCANA;Sinottica;9
2005;6797;9.001745579591967;VITERBO;162160;162160;42.433;12.05;308;11;VITERBO;VITERBO;LAZIO;Sinottica;12
2005;6800;3.040378455824831;MONTE TERMINILLO;162190;162190;42.467;12.983;1875;11;CANTALICE;RIETI;LAZIO;Sinottica;12
2005;6801;11.248981916828647;RIETI;162210;162210;42.417;12.85;389;11;RIETI;RIETI;LAZIO;NA;12
2005;6803;11.568824958582026;VIGNA DI VALLE;162240;162240;42.083;12.217;266;11;BRACCIANO;ROMA;LAZIO;Sinottica;12
2005;6810;9.504699489462265;PESCARA;162300;162300;42.433;14.2;11;11;PESCARA;PESCARA;ABRUZZO;Sinottica;13
2005;6812;14.413995625258714;TERMOLI;162320;162320;42;15;44;11;TERMOLI;CAMPOBASSO;MOLISE;Sinottica;14
2005;6815;11.065543585060638;ROMA/URBE;162350;162350;41.95;12.5;24;11;FIUMICINO;ROMA;LAZIO;Sinottica;12
2005;6817;10.985278128978667;ROMA/CIAMPINO;162390;162390;41.783;12.583;105;11;FIUMICINO;ROMA;LAZIO;Sinottica;12
2005;6819;10.677703123907827;ROMA FIUMICINO;162420;162420;41.8;12.233;3;11;FIUMICINO;ROMA;LAZIO;Sinottica;12
2005;6820;10.931975374232145;LATINA;162430;162430;41.55;12.9;26;11;LATINA;LATINA;LAZIO;Sinottica;12
2005;6821;9.037981458183374;FROSINONE;162440;162440;41.633;13.3;185;11;FROSINONE;FROSINONE;LAZIO;Sinottica;12
2005;6822;11.788692529141525;PRATICA DI MARE;162450;162450;41.65;12.45;21;11;POMEZIA;ROMA;LAZIO;Sinottica;12
2005;6826;9.406054294230092;CAMPOBASSO;162520;162520;41.567;14.65;807;11;CAMPOBASSO;CAMPOBASSO;MOLISE;Sinottica;14
2005;6827;10.429786337033006;GRAZZANISE;162530;162530;41.05;14.067;10;11;CANCELLO ED ARNONE;CASERTA;CAMPANIA;Sinottica;15
2005;6828;9.514171043046963;MONTE S. ANGELO;162580;162580;41.7;15.95;844;11;MONTE SANT'ANGELO;FOGGIA;PUGLIA;Sinottica;16
2005;6834;10.497222848241737;AMENDOLA;162610;162610;41.533;15.717;60;11;SAN GIOVANNI ROTONDO;FOGGIA;PUGLIA;Sinottica;16
2005;6836;7.422103917968601;TREVICO;162630;162630;41.05;15.233;1093;11;TREVICO;AVELLINO;CAMPANIA;Sinottica;15
2005;6839;11.536926742240714;BARI/PALESE MACCHIE;162700;162700;41.133;16.783;49;11;BARI;BARI;PUGLIA;Sinottica;16
2005;6841;15.146313719225118;PONZA;162800;162800;40.917;12.95;185;11;PONZA;LATINA;LAZIO;Sinottica;12
2005;6844;12.203239080703133;NAPOLI/CAPODICHINO;162890;162890;40.85;14.3;72;11;NAPOLI;NAPOLI;CAMPANIA;Sinottica;15
2005;6847;14.92625067042172;CAPRI;162940;162940;40.55;14.2;161;11;ANACAPRI;NAPOLI;CAMPANIA;Sinottica;15
2005;6850;14.186624573268624;CAPO PALINURO;163100;163100;40.017;15.283;185;11;CENTOLA;SALERNO;CAMPANIA;Sinottica;15
2005;6851;9.691884069449891;GIOIA DEL COLLE;163120;163120;40.767;16.933;350;11;GIOIA DEL COLLE;BARI;PUGLIA;Sinottica;16
2005;6853;9.445057629671782;LATRONICO;163160;163160;40.083;16.017;896;11;LATRONICO;POTENZA;BASILICATA;Sinottica;17
2005;6856;13.568160126383445;BRINDISI;163200;163200;40.65;17.95;10;11;BRINDISI;BRINDISI;PUGLIA;Sinottica;16
2005;6857;15.359503799676764;GROTTAGLIE;163240;163240;40.517;17.4;69;11;GROTTAGLIE;TARANTO;PUGLIA;Sinottica;16
2005;6858;12.517842698401841;MARINA DI GINOSA;163250;163250;40.433;16.883;12;11;GINOSA;TARANTO;PUGLIA;Sinottica;16
2005;6859;11.149033824072639;LECCE;163320;163320;40.233;18.15;61;11;GALATINA;LECCE;PUGLIA;Sinottica;16
2005;6863;12.685454239501304;BONIFATI;163370;163370;39.583;15.883;485;11;BONIFATI;COSENZA;CALABRIA;Sinottica;18
2005;6865;4.972652913003447;MONTE SCURO;163440;163440;39.333;16.4;1720;11;CELICO;COSENZA;CALABRIA;Sinottica;18
2005;6867;14.357050030040629;CROTONE;163500;163500;39;17.067;161;11;ISOLA DI CAPO RIZZUTO;CROTONE;CALABRIA;Sinottica;18
2005;6869;14.557668405132755;S. MARIA DI LEUCA;163600;163600;39.817;18.35;112;11;CASTRIGNANO DEL CAPO;LECCE;PUGLIA;Sinottica;16
2005;6870;11.905979973119125;LAMEZIA TERME;163620;163620;38.9;16.25;15;11;LAMEZIA TERME;CATANZARO;CALABRIA;Sinottica;18
2005;6874;15.312621380577324;USTICA;164000;164000;38.7;13.183;251;11;USTICA;PALERMO;SICILIA;Sinottica;19
2005;6876;15.444752063430954;PALERMO/PUNTA RAISI;164050;164050;38.183;13.1;21;11;CINISI;PALERMO;SICILIA;Sinottica;19
2005;6881;16.38296342998656;MESSINA;164200;164200;38.2;15.55;51;11;MESSINA;MESSINA;SICILIA;Sinottica;19
2005;6882;15.4869407897329;REGGIO CALABRIA;164220;164220;38.067;15.65;21;11;REGGIO CALABRIA;REGGIO CALABRIA;CALABRIA;Sinottica;18
2005;6883;13.599223667260766;TRAPANI/BIRGI;164290;164290;37.917;12.5;14;11;MARSALA;TRAPANI;SICILIA;Sinottica;19
2005;6888;10.777038693504826;ENNA;164500;164500;37.567;14.283;965;11;ENNA;ENNA;SICILIA;Sinottica;19
2005;6889;15.473335061807681;GELA;164530;164530;37.083;14.217;65;11;GELA;CALTANISSETTA;SICILIA;Sinottica;19
2005;6891;11.833640597387218;CATANIA/SIGONELLA;164590;164590;37.4;14.917;22;11;LENTINI;SIRACUSA;SICILIA;Sinottica;19
2005;6893;11.789854171254092;CATANIA/FONTANAROSS;164600;164600;37.467;15.05;17;11;CATANIA;CATANIA;SICILIA;Sinottica;19
2005;6897;15.939781990295545;PANTELLERIA;164700;164700;36.817;11.967;170;11;PANTELLERIA;TRAPANI;SICILIA;Sinottica;19
2005;6901;15.91249026304528;COZZO SPADARO;164800;164800;36.683;15.133;51;11;PORTOPALO DI CAPO PASSERO;SIRACUSA;SICILIA;Sinottica;19
2005;6902;17.980638479763563;LAMPEDUSA;164900;164900;35.5;12.6;20;11;LAMPEDUSA E LINOSA;AGRIGENTO;SICILIA;Sinottica;19
2005;6906;10.930823224271503;ALGHERO;165200;165200;40.633;8.283;40;11;ALGHERO;SASSARI;SARDEGNA;Sinottica;20
2005;6907;14.495726197952887;CAPO CACCIA;165220;165220;40.567;8.167;204;11;ALGHERO;SASSARI;SARDEGNA;Sinottica;20
2005;6910;11.253273821802043;OLBIA/COSTA SMERALD;165310;165310;40.9;9.517;13;11;OLBIA;SASSARI;SARDEGNA;Sinottica;20
2005;6919;11.556096982374193;DECIMOMANNU;165460;165460;39.35;8.967;28;11;VILLASOR;CAGLIARI;SARDEGNA;Sinottica;20
2005;6922;14.27936521333791;CAPO BELLAVISTA;165500;165500;39.933;9.717;150;11;TORTOLI';NUORO;SARDEGNA;Sinottica;20
2005;6923;12.285235929516778;CAGLIARI/ELMAS;165600;165600;39.25;9.067;5;11;ELMAS;CAGLIARI;SARDEGNA;Sinottica;20
2005;6925;15.828114087937562;CAPO CARBONARA;165640;165640;39.1;9.517;118;11;VILLASIMIUS;CAGLIARI;SARDEGNA;Sinottica;20
